,City,Country,Max_temp,Current Description,Lat,Lon,Hotel Name
18,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
25,Wasilla,US,73.65,light rain,61.5814,-149.4394,Alaska's Select Inn Wasilla
46,Cape Town,ZA,72.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
57,Mabaruma,GY,74.7,broken clouds,8.2,-59.7833,Monty Brooms Guest House
60,Fukuechō,JP,70.12,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
67,Arraial do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Aksu,CN,72.86,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
94,Karratha,AU,74.23,broken clouds,-20.7377,116.8463,ibis Styles Karratha
136,Caravelas,BR,72.61,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
153,São Filipe,CV,74.62,scattered clouds,14.8961,-24.4956,Hotel Xaguate
155,Mimongo,GA,70.11,overcast clouds,-1.6195,11.6068,
165,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
166,Bengkulu,ID,73.58,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
178,Shimoda,JP,73.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
190,Katsuura,JP,73.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
191,Angoche,MZ,72.79,overcast clouds,-16.2325,39.9086,Guest House HESADA
192,La Roda,ES,70.9,clear sky,39.2167,-2.15,Hotel-Restaurante El Sueño de Jemik
193,Kisangani,CD,70.03,light rain,0.5167,25.2,Grand Ramela Hotel
200,Bumba,CD,70.23,overcast clouds,2.1833,22.4667,Hôtel Cape Town
235,Syracuse,IT,74.89,broken clouds,37.0881,15.2792,Hotel Posta
245,Luang Prabang,LA,74.32,overcast clouds,19.8856,102.1347,Villa Oasis
256,Uauá,BR,72.77,broken clouds,-9.8414,-39.4817,Hotel Uauá
269,Tura,IN,71.94,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
271,Meulaboh,ID,74.19,moderate rain,4.1363,96.1285,Kost Pria
276,Laichow,CN,74.75,light rain,37.1717,119.9214,GreenTree Inn Yantai Laizhou South Road Unicom Building Express Hotel
282,Mossamedes,AO,74.14,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
286,Jalu,LY,74.97,clear sky,29.0331,21.5482,صاحبة الفخامة
287,Atambua,ID,71.85,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
329,Koumac,NC,73.54,overcast clouds,-20.5667,164.2833,Le Monitel
335,Port Hedland,AU,71.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
336,Pringsewu,ID,73.44,broken clouds,-5.3582,104.9744,Urban Style by Front One
345,Seoul,KR,70.21,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
346,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
358,Faya,SA,70.32,clear sky,18.3851,42.4509,مقبرة ال مجمل
371,Benin,BJ,74.79,overcast clouds,9.5,2.25,
386,Cairns,AU,72.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
398,Sal Rei,CV,72.16,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
399,Hangu,CN,71.64,overcast clouds,39.2489,117.7892,Chongli Xuexiang Family Express Inn
409,Hanyang,CN,70.09,overcast clouds,32.1371,105.5126,Forestry Hostel
418,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
421,Mangan,IN,73.47,overcast clouds,27.5167,88.5333,Hotel Mout View
425,Fortuna,US,72.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
426,Nichinan,JP,70.75,overcast clouds,31.6,131.3667,Guest House Aki
429,Moanda,GA,73.54,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
435,Urla,TR,70.2,scattered clouds,38.3229,26.764,ulice Restaurant & Cafe & Butik Otel
440,Hongjiang,CN,71.38,overcast clouds,27.11,109.9956,洪江大酒店
444,Sambava,MG,71.1,scattered clouds,-14.2667,50.1667,Melrose
448,Vite,IN,72.28,overcast clouds,17.2833,74.55,Government Hostel
464,Baffa,PK,73.76,clear sky,34.4378,73.2194,Kisan veternary store Baffa
472,Niquelândia,BR,72.19,overcast clouds,-14.4739,-48.4597,Hotel Suinã
475,Sibolga,ID,74.79,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
480,Santa Cruz de la Sierra,BO,73.45,light rain,-17.8,-63.1667,Aviador Hotel Boutique
488,Maningrida,AU,72.73,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
501,Caculé,BR,72.45,broken clouds,-14.5033,-42.2222,Radar Palace Hotel
508,Kuching,MY,73.62,few clouds,1.55,110.3333,The Ranee Boutique Suites
521,Jutaí,BR,73.89,heavy intensity rain,-5.1833,-68.9,
526,Ajdabiya,LY,73.81,clear sky,30.7554,20.2263,Almadina Hotel
545,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
552,Pueblo,US,72.09,broken clouds,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
564,São João da Barra,BR,74.34,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
571,Batangafo,CF,71.4,broken clouds,7.3008,18.2833,OCHA Office
605,Lobito,AO,74.41,few clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
609,Marsá Maţrūḩ,EG,70.0,clear sky,31.3525,27.2453,Beau Site
610,Saint-Pierre,RE,73.08,light rain,-21.3393,55.4781,Lindsey Hôtel
644,Naze,JP,74.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
660,Brumado,BR,72.3,overcast clouds,-14.2036,-41.6653,Hotel São Lázaro
664,Berkakit,RU,71.92,broken clouds,56.5807,124.7681,"Ooo ""Pridorozhnyy Mnogofunktsional'nyy Kompleks"""
666,Jerantut,MY,72.18,overcast clouds,3.9360000000000004,102.3626,Jerantut Hill Resort
669,Moncton,CA,72.09,broken clouds,46.1159,-64.8019,"Crowne Plaza Moncton Downtown, an IHG Hotel"
685,Moose Factory,CA,73.4,broken clouds,51.2585,-80.6094,Moosonee Lilypad
687,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
689,Gōtsuchō,JP,71.71,broken clouds,35.0,132.2167,Yurusato
692,Central Point,US,74.17,broken clouds,42.376000000000005,-122.9164,Courtyard by Marriott Medford Airport
