,City,Lat,Lon,Max_temp,Humidity,Clouds,Wind Speed,Country,Current Description
0,Coahuayana Viejo,18.7333,-103.6833,89.35,54,79,6.73,MX,broken clouds
1,Bluff,-46.6,168.3333,49.8,80,61,8.32,NZ,broken clouds
2,Tual,-5.6667,132.75,81.27,78,100,14.43,ID,overcast clouds
3,Pangai,-19.8,-174.35,80.71,65,20,6.91,TO,few clouds
4,Dabat,12.9842,37.765,62.71,33,96,5.26,ET,overcast clouds
5,Hithadhoo,-0.6,73.0833,82.74,73,11,12.35,MV,few clouds
6,Barrow,71.2906,-156.7887,32.02,86,90,13.8,US,mist
7,Puerto Ayora,-0.7393,-90.3518,80.56,90,38,1.99,EC,scattered clouds
8,Bredasdorp,-34.5322,20.0403,57.27,47,4,6.62,ZA,clear sky
9,Huai Mek,16.5898,103.2355,79.0,99,100,5.32,TH,overcast clouds
10,Prince Rupert,54.3161,-130.3201,51.89,78,90,4.61,CA,light rain
11,Tautira,-17.7333,-149.15,86.02,73,45,12.39,PF,scattered clouds
12,Kapaa,22.0752,-159.319,83.19,70,20,3.0,US,few clouds
13,Ketchikan,55.3422,-131.6461,53.58,89,100,3.09,US,light rain
14,San Policarpo,12.1791,125.5072,79.14,86,100,3.8,PH,overcast clouds
15,Ushuaia,-54.8,-68.3,44.26,57,40,12.66,AR,scattered clouds
16,Los Llanos de Aridane,28.6585,-17.9182,64.15,82,90,12.53,ES,overcast clouds
17,Saravan,39.7196,45.6483,57.85,52,0,4.65,AM,clear sky
18,Hasaki,35.7333,140.8333,72.28,83,100,1.12,JP,overcast clouds
19,Rikitea,-23.1203,-134.9692,76.77,83,98,15.23,PF,overcast clouds
20,East London,-33.0153,27.9116,62.28,39,0,9.24,ZA,clear sky
21,Atuona,-9.8,-139.0333,80.19,62,61,6.73,PF,broken clouds
22,Kwang Binh,17.4833,106.6,82.81,75,100,7.45,VN,overcast clouds
23,Ribeira Grande,38.5167,-28.7,65.16,87,100,7.65,PT,overcast clouds
24,Klaksvík,62.2266,-6.589,49.12,99,100,15.57,FO,overcast clouds
25,Wasilla,61.5814,-149.4394,73.65,48,1,6.91,US,light rain
26,Nome,64.5011,-165.4064,36.16,83,100,4.79,US,overcast clouds
27,Jamestown,42.097,-79.2353,82.29,50,1,6.91,US,clear sky
28,Butaritari,3.0707,172.7902,82.58,72,12,8.48,KI,light rain
29,Esperance,-33.8667,121.9,57.04,61,100,27.4,AU,overcast clouds
30,Batemans Bay,-35.7167,150.1833,54.91,69,100,4.18,AU,overcast clouds
31,Siniscola,40.5719,9.6922,65.75,85,27,4.81,IT,scattered clouds
32,Kamenka,51.3223,42.7678,53.85,94,60,6.53,RU,broken clouds
33,Merke,42.8728,73.1786,69.96,53,100,6.02,KZ,overcast clouds
34,Tasiilaq,65.6145,-37.6368,39.29,91,98,5.23,GL,overcast clouds
35,Salinópolis,-0.6136,-47.3561,77.79,86,37,9.42,BR,scattered clouds
36,Pevek,69.7008,170.3133,48.31,66,29,13.11,RU,scattered clouds
37,Fort Nelson,58.8053,-122.7002,60.39,41,75,8.05,CA,broken clouds
38,Khor,47.8861,134.9464,61.86,74,68,11.77,RU,broken clouds
39,Kosino,58.4127,51.2782,53.83,77,5,3.56,RU,clear sky
40,Vardø,70.3705,31.1107,39.15,74,6,1.88,NO,clear sky
41,Vaini,-21.2,-175.2,77.16,78,75,13.8,TO,broken clouds
42,Pathein,16.7833,94.7333,82.92,77,96,8.84,MM,overcast clouds
43,Sokółka,53.4072,23.5023,57.65,90,1,6.69,PL,clear sky
44,Lebu,-37.6167,-73.65,48.79,79,91,4.21,CL,overcast clouds
