City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lagdo,CM,2021-05-29 16:20:03,9.05,13.7333,92.93,33,73,6.73
1,Lagdo,CM,2021-05-29 16:20:03,9.05,13.7333,92.93,33,73,6.73
2,Lagdo,CM,2021-05-29 16:20:03,9.05,13.7333,92.93,33,73,6.73
3,Albany,US,2021-05-29 16:16:51,42.6001,-73.9662,48.72,87,100,6.13
4,Bataipora,BR,2021-05-29 16:21:35,-22.2953,-53.2711,90.54,31,95,13.18
5,Bluff,NZ,2021-05-29 16:21:36,-46.6,168.3333,49.8,88,100,20.36
6,Nikolskoye,RU,2021-05-29 16:21:36,59.7035,30.7861,54.39,43,2,8.14
7,Mataura,NZ,2021-05-29 16:19:43,-46.1927,168.8643,49.48,97,100,2.86
8,Port Alfred,ZA,2021-05-29 16:17:03,-33.5906,26.891,65.05,63,73,27.25
9,Maraa,BR,2021-05-29 16:21:37,-1.8333,-65.3667,90.07,53,43,3.15
10,Georgetown,MY,2021-05-29 16:21:06,5.4112,100.3354,84.88,83,20,3.44
11,Yuncheng,CN,2021-05-29 16:21:37,35.0231,110.9928,74.97,38,24,4.21
12,Barrow,US,2021-05-29 16:17:08,71.2906,-156.7887,30.22,86,90,11.5
13,Acapulco,MX,2021-05-29 16:20:19,16.8634,-99.8901,91.22,55,75,4.47
14,Avarua,CK,2021-05-29 16:21:38,-21.2078,-159.775,71.65,78,40,3.44
15,Carnarvon,AU,2021-05-29 16:20:26,-24.8667,113.6333,66.27,82,90,10.36
16,Chippewa Falls,US,2021-05-29 16:21:38,44.9369,-91.3929,58.98,42,1,6.38
17,Hithadhoo,MV,2021-05-29 16:21:39,-0.6,73.0833,83.88,71,76,16.78
18,Pacific Grove,US,2021-05-29 16:19:33,36.6177,-121.9166,61.57,88,90,3.0
19,Saint-Michel-Des-Saints,CA,2021-05-29 16:21:39,46.6834,-73.9159,56.93,24,1,7.58
20,Adrar,MR,2021-05-29 16:21:39,20.5022,-10.0711,109.45,8,98,9.13
21,Rikitea,PF,2021-05-29 16:21:40,-23.1203,-134.9692,76.89,85,65,19.1
22,New Norfolk,AU,2021-05-29 16:19:55,-42.7826,147.0587,45.9,76,38,2.93
23,Clyde River,CA,2021-05-29 16:21:40,70.4692,-68.5914,32.23,69,20,6.91
24,Nanortalik,GL,2021-05-29 16:21:40,60.1432,-45.2371,38.14,82,86,5.99
25,Bajil,YE,2021-05-29 16:21:41,15.0584,43.2851,98.49,22,73,5.48
26,Cherskiy,RU,2021-05-29 16:21:41,68.75,161.3,47.03,52,28,11.21
27,Makaryev,RU,2021-05-29 16:21:41,57.8797,43.8069,54.0,83,100,12.44
28,Ushuaia,AR,2021-05-29 16:19:32,-54.8,-68.3,31.62,93,75,16.11
29,Gauripur,IN,2021-05-29 16:21:42,26.0835,89.9616,84.74,67,18,3.13
30,Moron,AR,2021-05-29 16:19:58,-34.6534,-58.6198,55.09,50,1,13.02
31,Maceio,BR,2021-05-29 16:21:40,-9.6658,-35.7353,85.44,51,40,10.31
32,Mandalgovi,MN,2021-05-29 16:21:43,45.7625,106.2708,47.07,51,0,0.47
33,Hobyo,SO,2021-05-29 16:21:43,5.3505,48.5268,79.97,79,90,22.46
34,Severo-Kurilsk,RU,2021-05-29 16:21:44,50.6789,156.125,39.25,84,74,2.53
35,Sinnamary,GF,2021-05-29 16:21:44,5.3833,-52.95,80.38,84,91,8.39
36,Luderitz,NA,2021-05-29 16:21:44,-26.6481,15.1594,67.01,58,44,20.94
37,Manicore,BR,2021-05-29 16:21:45,-5.8092,-61.3003,92.89,44,5,3.02
38,Rincon,US,2021-05-29 16:19:45,32.296,-81.2354,82.36,72,75,1.01
39,Busselton,AU,2021-05-29 16:19:52,-33.65,115.3333,55.09,81,89,7.76
40,Mandla,IN,2021-05-29 16:21:45,22.6,80.3833,94.66,25,44,1.95
41,Hilo,US,2021-05-29 16:21:46,19.7297,-155.09,69.8,85,20,4.61
42,Salmon Arm,CA,2021-05-29 16:21:05,50.6998,-119.3024,57.43,76,12,3.44
43,Brae,GB,2021-05-29 16:21:46,60.3964,-1.353,46.31,72,6,7.61
44,Kasulu,TZ,2021-05-29 16:21:47,-4.5767,30.1025,71.06,68,94,1.25
45,Sitka,US,2021-05-29 16:21:12,57.0531,-135.33,49.89,71,90,10.36
46,Kuryk,KZ,2021-05-29 16:21:47,43.2,51.65,75.22,51,81,7.58
47,Bredasdorp,ZA,2021-05-29 16:21:47,-34.5322,20.0403,58.28,88,9,9.66
48,Qaanaaq,GL,2021-05-29 16:21:48,77.484,-69.3632,32.5,93,38,6.04
49,Padang,ID,2021-05-29 16:21:48,-0.9492,100.3543,78.69,78,100,4.54
50,Aras,ES,2021-05-29 16:21:49,42.5617,-2.356,79.21,32,75,12.55
51,Mar Del Plata,AR,2021-05-29 16:21:49,-38.0023,-57.5575,48.99,52,40,15.01
52,Cape Town,ZA,2021-05-29 16:20:27,-33.9258,18.4232,63.01,65,20,1.99
53,Kaitangata,NZ,2021-05-29 16:21:49,-46.2817,169.8464,49.33,95,100,11.97
54,Pitea,SE,2021-05-29 16:21:50,65.3172,21.4794,46.49,47,43,11.23
55,Cidreira,BR,2021-05-29 16:21:50,-30.1811,-50.2056,65.53,62,15,14.81
56,Mahebourg,MU,2021-05-29 16:21:50,-20.4081,57.7,75.49,88,75,4.61
57,Puerto Del Rosario,ES,2021-05-29 16:21:51,28.5004,-13.8627,71.35,68,20,11.5
58,Lebu,CL,2021-05-29 16:21:51,-37.6167,-73.65,52.57,74,100,3.8
59,Port Lincoln,AU,2021-05-29 16:21:51,-34.7333,135.8667,56.64,64,0,13.73
